Altium Designer Pick and Place Locations
C:\Altium Designer\Files\Six_new\SixSwitchRectifier\Project Outputs for SixSwitchRectifier\Pick Place for SixSwitchRectifier_Board.txt

========================================================================================================================
File Design Information:

Date:       09/06/25
Time:       14:12
Revision:   cdb9a575b6239fa6e3fc5414787473e0380e5781
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                  
CN_P1      CN                     TopLayer    P-820W                           8194.945      4237.205      0        Terminal                                                                     
IC15       LTC1446CN8#PBF         TopLayer    DIP794W53P254L1016H394Q8N        5220.000      16045.000     0        "Integrated Circuit"                                                         
IC14       LTC1446CN8#PBF         TopLayer    DIP794W53P254L1016H394Q8N        5220.000      16575.000     0        "Integrated Circuit"                                                         
C24        C0805C473F3GECAUTO7210 TopLayer    C0805                            7025.433      14134.208     0        Capacitor                                                                    
C23        C0805C473F3GECAUTO7210 TopLayer    C0805                            7025.433      14904.988     0        Capacitor                                                                    
C22        C0805C473F3GECAUTO7210 TopLayer    C0805                            6100.433      14134.208     0        Capacitor                                                                    
C21        C0805C473F3GECAUTO7210 TopLayer    C0805                            6100.433      14904.988     0        Capacitor                                                                    
C20        C0805C473F3GECAUTO7210 TopLayer    C0805                            5220.433      14134.208     0        Capacitor                                                                    
C19        C0805C473F3GECAUTO7210 TopLayer    C0805                            5220.433      14904.988     0        Capacitor                                                                    
XF3        65800001009            TopLayer    FUSM250108X1320N                 4210.000      4535.000      90       Hardware                                                                     
XF2        65800001009            TopLayer    FUSM250108X1320N                 4677.500      4535.000      90       Hardware                                                                     
XF1        65800001009            TopLayer    FUSM250108X1320N                 5145.000      4535.000      90       Hardware                                                                     
IC9        LM358D                 TopLayer    SOIC127P600X175-8N               5255.000      13306.772     270      "Integrated Circuit"                                                         
Q3         "SiC MOS"              TopLayer    C247-050-2VE                     8698.740      7589.252      0        "MOSFETs, N-Channel 1200 V 100A (Tc) 431W (Tc) Through Hole TO-247-4L(X)"    
Q2         "SiC MOS"              TopLayer    C247-050-2VE                     8698.740      9589.252      0        "MOSFETs, N-Channel 1200 V 100A (Tc) 431W (Tc) Through Hole TO-247-4L(X)"    
Q1         "SiC MOS"              TopLayer    C247-050-2VE                     8698.740      11589.252     0        "MOSFETs, N-Channel 1200 V 100A (Tc) 431W (Tc) Through Hole TO-247-4L(X)"    
Z14        3.3V                   BottomLayer DIOM5226X230N                    8040.000      6464.645      90       "Zener Diode"                                                                
Z13        3.3V                   BottomLayer DIOM5226X230N                    5120.000      12290.354     270      "Zener Diode"                                                                
Z12        3.3V                   TopLayer    DIOM5226X230N                    7230.354      14760.000     0        "Zener Diode"                                                                
Z11        3.3V                   TopLayer    DIOM5226X230N                    7215.000      13005.000     180      "Zener Diode"                                                                
Z10        3.3V                   TopLayer    DIOM5226X230N                    7230.354      14275.000     0        "Zener Diode"                                                                
Z9         3.3V                   TopLayer    DIOM5226X230N                    6225.000      13007.634     180      "Zener Diode"                                                                
Z8         3.3V                   TopLayer    DIOM5226X230N                    6305.354      14760.000     0        "Zener Diode"                                                                
